source1_entity_id	matched_entity_ids
S1-100399179	S2-259915755,S2-943289934
S1-100511071	S2-510160152,S2-166791746,S2-63397266,S2-849740048,S3-350589366,S3-376271072,S3-309177259
S1-100953104	S2-614827638,S3-694515315,S3-68682399
S1-101762377	
S1-102539463	S2-699297849,S2-785887849,S2-715944218
S1-103306793	S2-844623850,S2-186650811,S3-658852159,S3-569625706
S1-103669468	S2-342909868,S2-556210403
S1-104386090	S2-388805055,S2-29513677,S2-646930594,S2-102248549,S3-859252463,S3-543585520,S3-638742530
S1-104517174	S2-531821661,S3-371987795,S3-415046644,S3-257664045,S3-390756099,S3-284039613
S1-104594645	S2-167074341,S2-418022881,S2-877144844,S3-369438690,S3-337212539
S1-104820451	S2-502003054,S2-438218609,S3-544880688,S3-752521487
S1-104944987	S2-695186971
S1-105559761	S3-747716918
S1-105693693	S2-475463708,S3-177253480,S3-682251820
S1-105750285	S2-834304222,S3-889821947,S3-346467789
S1-10580196	S2-806153030,S2-34357118,S3-736117903,S3-449154622
S1-106138150	S2-215477233,S2-421304860
S1-106307602	S2-559719590,S2-928217474,S3-721394838
S1-106898123	S2-337451042,S3-775048482,S3-788080675
S1-106966123	S2-236522713,S2-224711873,S2-278888692,S2-619602212,S3-560100668
S1-107296667	S2-768452898,S2-771379814,S2-983379341,S2-158694816,S3-656145404,S3-175933599,S3-39554913,S3-899343587,S3-310967004
S1-10745149	S2-785654979,S2-126801931,S3-283050562
S1-107757375	S2-727159296,S2-86369149,S3-233500525,S3-153974761
S1-10802286	S2-947156719,S2-439059133,S2-42078860,S2-190163962,S3-455820655,S3-35273010,S3-624125246
S1-108573058	S3-775817300
S1-108709725	S2-28595597,S3-516453835,S3-784763723
S1-108874063	S2-345654753,S2-411979603,S3-822665668,S3-966135739
S1-109396190	S2-498322747,S2-842970431,S3-486283136,S3-998513627,S3-990886801,S3-791205322
S1-109450074	S2-590754336,S3-805634465
S1-109666175	S2-523332136,S3-918679344
S1-110461692	S2-684753990,S3-718438375,S3-278546901,S3-95025438,S3-491672015
S1-111004357	S3-54424857,S3-366986772
S1-111609632	S2-888013388,S2-249853706,S2-233376985,S2-260618466,S3-652613333,S3-559612665
S1-111617836	S2-90219465,S3-487418026,S3-710291475
S1-11200670	S2-177604414,S2-25447874,S2-738200287,S2-369084871,S3-71207220,S3-244281758
S1-112265255	S2-670618631,S2-133822814,S3-72154396,S3-798571116
S1-112604796	S2-26445198,S2-893011827,S3-671340387,S3-267260919
S1-112998882	S2-683423806,S2-117547978,S3-107221991,S3-650253746,S3-864464833
S1-113800133	S2-938775996,S2-358248714,S2-133718192,S3-517692803,S3-420816204,S3-221466509
S1-113906569	S2-219333879
